station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KILN,2010-10-23 12:00:00,5,516.0,5539.0,-12.3,-17.0,M,M,M,M
KILN,2010-10-23 12:00:00,5,510.0,5628.0,-12.9,-16.8,M,M,M,M
KILN,2010-10-23 12:00:00,4,500.0,5790.0,-13.7,-18.5,280.0,34,98.0,6.0
KILN,2010-10-23 12:00:00,5,483.0,6051.0,-16.1,-20.6,M,M,M,M
KILN,2010-10-23 12:00:00,6,480.1,6096.0,M,M,285.0,42,99.0,7.0
KILN,2010-10-23 12:00:00,5,475.0,6176.0,-16.3,-22.3,M,M,M,M
KILN,2010-10-23 12:00:00,5,462.0,6383.0,-17.9,-24.9,M,M,M,M
KILN,2010-10-23 12:00:00,5,451.0,6562.0,-18.9,-32.9,M,M,M,M
KILN,2010-10-23 12:00:00,6,442.4,6705.0,M,M,270.0,38,98.0,8.0
KILN,2010-10-23 12:00:00,5,433.0,6864.0,-19.9,-36.9,M,M,M,M
KILN,2010-10-23 12:00:00,4,400.0,7450.0,-24.5,-39.5,275.0,39,97.0,10.0
KILN,2010-10-23 12:00:00,6,390.5,7620.0,M,M,275.0,39,97.0,10.0
KILN,2010-10-23 12:00:00,6,314.4,9144.0,M,M,285.0,35,98.0,13.0
KILN,2010-10-23 12:00:00,5,308.0,9289.0,-39.9,-53.9,M,M,M,M
KILN,2010-10-23 12:00:00,6,301.0,9448.0,M,M,290.0,36,98.0,14.0
KILN,2010-10-23 12:00:00,4,300.0,9470.0,-41.3,-55.3,290.0,36,98.0,14.0
KILN,2010-10-23 12:00:00,5,288.0,9745.0,-43.5,-56.5,M,M,M,M
KILN,2010-10-23 12:00:00,5,275.0,10054.0,-45.1,-58.1,M,M,M,M
KILN,2010-10-23 12:00:00,6,262.6,10363.0,M,M,275.0,35,98.0,16.0
KILN,2010-10-23 12:00:00,4,250.0,10690.0,-50.9,-62.9,275.0,35,98.0,16.0
KILN,2010-10-23 12:00:00,6,227.8,11277.0,M,M,270.0,34,98.0,18.0
KILN,2010-10-23 12:00:00,4,200.0,12100.0,-63.1,-72.1,290.0,33,98.0,19.0
KILN,2010-10-23 12:00:00,5,198.0,12162.0,-63.5,-72.5,M,M,M,M
KILN,2010-10-23 12:00:00,6,197.0,12192.0,M,M,290.0,33,98.0,19.0
KILN,2010-10-23 12:00:00,5,190.0,12414.0,-63.1,-72.1,M,M,M,M
KILN,2010-10-23 12:00:00,5,185.0,12577.0,-63.7,-72.7,M,M,M,M
KILN,2010-10-23 12:00:00,5,179.0,12779.0,-62.7,-71.7,M,M,M,M
KILN,2010-10-23 12:00:00,5,173.0,12988.0,-63.5,-72.5,M,M,M,M
KILN,2010-10-23 12:00:00,6,169.7,13106.0,M,M,280.0,49,99.0,21.0
KILN,2010-10-23 12:00:00,5,168.0,13168.0,-61.3,-70.3,M,M,M,M
KILN,2010-10-23 12:00:00,5,157.0,13585.0,-63.3,-72.3,M,M,M,M
KILN,2010-10-23 12:00:00,4,150.0,13870.0,-63.1,-72.1,290.0,44,99.0,23.0
KILN,2010-10-23 12:00:00,5,145.0,14078.0,-62.9,-71.9,M,M,M,M
KILN,2010-10-23 12:00:00,5,138.0,14381.0,-64.1,-73.1,M,M,M,M
KILN,2010-10-23 12:00:00,5,136.0,14470.0,-63.1,-72.1,M,M,M,M
KILN,2010-10-23 12:00:00,5,129.0,14794.0,-63.1,-72.1,M,M,M,M
KILN,2010-10-23 12:00:00,6,119.9,15240.0,M,M,290.0,34,100.0,26.0
KILN,2010-10-23 12:00:00,5,113.0,15600.0,-66.5,-74.5,M,M,M,M
KILN,2010-10-23 12:00:00,5,110.0,15763.0,-65.3,-74.3,M,M,M,M
KILN,2010-10-23 12:00:00,5,105.0,16046.0,-64.9,-73.9,M,M,M,M
KILN,2010-10-23 12:00:00,5,104.0,16104.0,-63.9,-72.9,M,M,M,M
KILN,2010-10-23 12:00:00,4,100.0,16350.0,-64.3,-73.3,280.0,31,101.0,28.0
